2018-05-05 15:39:47.182 JST [81380] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:39:52.069 JST [81400] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:39:57.128 JST [81420] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:40:02.087 JST [81446] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:40:07.126 JST [81467] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:40:12.090 JST [81487] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:40:17.155 JST [81504] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:40:22.122 JST [81524] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:40:27.553 JST [81545] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.32 s, system: 0.10 s, elapsed: 0.43 s
2018-05-05 15:40:27.650 JST [81545] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 15:40:32.125 JST [81565] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:40:37.181 JST [81585] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:40:42.149 JST [81605] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:40:47.201 JST [81633] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:40:52.173 JST [81650] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:40:57.341 JST [81670] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.02 s, elapsed: 0.05 s
2018-05-05 15:41:02.186 JST [81690] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:41:07.198 JST [81707] LOG:  ----- Select higher 40 percent ranges -----
2018-05-05 15:41:07.198 JST [81707] LOG:  
2018-05-05 15:41:07.198 JST [81707] LOG:  ---------- CHOOSE 0 ranges-----------------
2018-05-05 15:41:07.198 JST [81707] LOG:  starting vacuum on "pgbench_accounts"
2018-05-05 15:41:12.200 JST [81727] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:41:12.263 JST [81727] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.05 s
2018-05-05 15:41:22.494 JST [81764] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:41:22.979 JST [81764] LOG:  automatic analyze of table "postgres.public.pgbench_history" system usage: CPU: user: 0.27 s, system: 0.19 s, elapsed: 0.47 s
2018-05-05 15:41:23.036 JST [81764] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.03 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 15:41:27.423 JST [79827] LOG:  checkpoint starting: xlog
2018-05-05 15:41:32.227 JST [81804] LOG:  automatic analyze of table "postgres.public.pgbench_branches" system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2018-05-05 15:41:32.303 JST [81804] LOG:  automatic analyze of table "postgres.public.pgbench_tellers" system usage: CPU: user: 0.04 s, system: 0.00 s, elapsed: 0.04 s
2018-05-05 15:41:35.462 JST [81707] LOG:  automatic vacuum of table "postgres.public.pgbench_accounts": index scans: 0
	pages: 0 removed, 13216155 remain, 0 skipped due to pins, 0 skipped frozen
	tuples: 0 removed, 800000000 remain, 0 are dead but not yet removable, oldest xmin: 96652876
	buffer usage: 2086041 hits, 107930 misses, 3 dirtied
	avg read rate: 29.828 MB/s, avg write rate: 0.001 MB/s
	system usage: CPU: user: 4.34 s, system: 4.60 s, elapsed: 28.26 s
2018-05-05 15:41:37.239 JST [81821] LOG:  ----- Select higher 40 percent ranges -----
